title,daily_rank,daily_movement,weekly_movement,view_count,like_count,comment_count,video_tags,publish_date,tokens,category,title_len
Asking EM on a DATE at THAILAND! (Valentines Special),22,28,28,772844,38204,7608,,2024-02-13 00:00:00+00:00,"['asking', 'em', 'date', 'thailand', 'valentines', 'special']",Foreign,6
BAKIT BIGLAANG PUMANAW si Sammy Manese na Kilalang Content Creator,24,26,26,155268,1692,108,"showbiz philippines, showbiz, philippines, sammy manese, sammy manese death, rip sammy manese",2023-11-29 00:00:00+00:00,"['biglaang', 'pumanaw', 'si', 'sammy', 'manese', 'kilalang', 'content', 'creator']",Shows,8
BALAHAW by Alex Gonzaga,4,41,46,4169475,141924,6607,"Alex gonzaga, Alex vlog, New vlog, Ivana alawi, Zeinab, Cong tv, Showtime, Eat, Tvj, Tv5, Gma, Bulaga, Travel, New video, Vlog trip, Alex g, Gonzaga, Friends, Best friends, Bff, Funny, New vid, Vlog, Daily vlog, Tiktok, Lifestyle, Trending, Viral, Dance, Friendships, Yayamanin, Rich life, Same day edit, Celebrity video, Home raid, House tour, Dongyan, Marian, Geo Ong, Jeo Ong, Jeremiah Ong, Ong Fam, Masid, Janice Ong, Joshua Ong, Palawa, Coron, El nido, San Vicente, Puerto Princesa, Jadon ong",2024-08-26 00:00:00+00:00,"['balahaw', 'alex', 'gonzaga']",Videoblogging,3
"BREADy, Set, Puksaan with SB19 | VICE GANDA",9,38,41,1468497,77720,10309,"vice ganda, vice, ganda, meme vice, meme, vicegandako, praybeytbenjamin, teamviceph, vice ganda house tour, vice ganda funny moments, vice ganda movie, gabing gabi na vice",2024-12-09 00:00:00+00:00,"['bready', 'set', 'puksaan', 'sb19', 'vice', 'ganda']",Comedy,6
BUENAVISTA: KAPAG DUMANAK ANG DUGO | ANJANETTE ABAYARI | FULL TAGALOG ACTION MOVIE,3,45,47,2442367,12038,132,"buenavista kapag dumanak ang dugo movie, jungo pinoy movies, tagalog movies, tagalog full movie, full movie, free movie, free full movie tagalog dubbed, full length filipino movies, full movie filipino film, tagalog dubbed full movie, tagalog dubbed full movie action, tagalog dubbed, tagalized action movies, tagalog dubbed action movies, tagalized full movies, best tagalog action movies, tagalog dubbed action film, tagalog dubbed action movies 2022, free tagalog movies",2023-12-18 00:00:00+00:00,"['buenavista', 'dumanak', 'dugo', 'anjanette', 'abayari', 'tagalog', 'action', 'movie']",Movies,8
"Babaeng biktimang pinatay sa bus, may video ng kanyang habilin | Frontline Tonight",3,47,47,2322969,15015,5212,"n5e, news5, news5digital, tv5, philippines, ph, news, breaking, news5everywhere, frontline, pilipinas, umaga, tonight, alerts, newsbreak, breakingnews, balita, marcos, bbm, duterte, tulfo, raffy, coc, fyp, fyi, newsph, breakingnewsph, socialnewsph, entertainmentnewsph, entertainment, tiktoknews, tiktok, trending, sarah, pba, uaap, vlog, sports",2023-11-17 00:00:00+00:00,"['babaeng', 'biktimang', 'pinatay', 'bus', 'video', 'habilin', 'frontline', 'tonight']",Entertainment,8
"Bahay ng komedyanteng si Mura sa Ligao City, Albay, natupok ng apoy! | Kapuso Mo, Jessica Soho",28,22,22,951379,12053,1023,"GMA, GMA 7, GMA Public Affairs, Public Affairs, Magazine, Kapuso Mo Jessica Soho, KMJS, Jessica Soho, KMJS 2024, genre:entertainment, format:interview, source:video, series:Kapuso Mo, topic:explainer, interview, news magazine, kmjs, kapuso mo jessica soho, trending news, kmjs today, kmjs latest, kapuso mo jessica soho latest episode, person:Jessica Soho, language:Filipino, bahay ni mura nasunog, sunog sa bahay ni mura, mura actor, mura comedian, kmjs mura, gma public affairs kmjs, gma",2024-05-06 00:00:00+00:00,"['bahay', 'komedyanteng', 'si', 'mura', 'ligao', 'city', 'albay', 'natupok', 'apoy', 'kapuso', 'mo', 'jessica', 'soho']",Entertainment,13
Birthday Bill Prank kay Mommy Pinty by Alex Gonzaga,2,29,48,4138658,78451,1903,"Alex gonzaga, Alex vlog, New vlog, Ivana alawi, Zeinab, Cong tv, Showtime, Eat, Tvj, Tv5, Gma, Bulaga, News, Travel, New video, Vlog trip, Alex g, Gonzaga, Friends, Best friends, Bff, Funny, New vid, Vlog, Toni gonzaga, Tanay Rizal, Daily vlog, Tiktok, Lifestyle, Trending, Viral, Dance, Friendships, Yayamanin, House raid, Rich life, Same day edit, Celebrity photography, Celebrity video, Home raid, House tour, Dongyan, Marian, Polly, toni gonzaga, gonzaga sisters",2024-09-15 00:00:00+00:00,"['birthday', 'bill', 'prank', 'kay', 'mommy', 'pinty', 'alex', 'gonzaga']",Videoblogging,8
"Bride at groom, sinermunan ng pari bago pa man sila ikasal?! | Kapuso Mo, Jessica Soho",18,20,32,2156100,25592,5851,"GMA, GMA 7, GMA Public Affairs, Public Affairs, Kapuso Mo Jessica Soho, KMJS, Jessica Soho, KMJS 2024, vertical:news, genre:entertainment, format:interview, type:digital, series:Kapuso Mo, topic:explainer, kmjs, kapuso mo jessica soho, kmjs latest, kapuso mo jessica soho latest episode, person:Jessica Soho, kmjs latest episode, kmjs June 16 2024, bride groom sinermunan, bride at groom hiyang hiya sa sariling kasal, viral bride sinermunan, viral bride kasal, bride and groom take 2",2024-06-17 00:00:00+00:00,"['bride', 'groom', 'sinermunan', 'pari', 'man', 'ikasal', 'kapuso', 'mo', 'jessica', 'soho']",Entertainment,10
CEBU ADVENTURE (5 HRS LUMAKAD)  | JELAI ANDRES,31,17,19,337952,11430,368,"jelai, jelaiandresvlog, jelai andres, jelai andres vlogs, buboy villar, jelai andres and buboy villar, cebu, jelai andres in cebu, buboy villar in cebu, jelai and buboy cebu, bantayan island, khenji saito, andres sisters, travel jelai andres, lets j jelai andres, bulai, bulai sa cebu, miloves, jelai buboy vlog, fast talk with boy abunda jelai and buboy, jelai surprise kay buboy, jelai andres swimsuit, jelai andres bisaya",2023-11-14 00:00:00+00:00,"['cebu', 'adventure', 'hrs', 'lumakad', 'jelai', 'andres']",Videoblogging,6
